year,month,crop,state,price_per_quintal,rainfall_mm,temperature_c
2018,3,Sugarcane,Madhya Pradesh,334.3,153.9,19.7
2018,3,Sugarcane,Rajasthan,336.72,85.1,27.7
2018,3,Sugarcane,Gujarat,332.22,23.0,30.3
2018,3,Chilli,Punjab,8502.39,116.2,18.9
2018,3,Chilli,UP,8773.45,106.5,16.3
2018,3,Chilli,Maharashtra,8569.94,26.9,16.6
2018,3,Chilli,Karnataka,9489.86,64.5,35.2
2018,3,Chilli,Andhra Pradesh,8454.53,136.3,34.0
2018,3,Chilli,Madhya Pradesh,8934.66,94.3,25.3
2018,3,Chilli,Rajasthan,8587.21,185.9,35.8
2018,3,Chilli,Gujarat,9454.76,24.9,33.3
2018,4,Tomato,Punjab,1348.37,36.2,16.7
2018,4,Tomato,UP,1308.61,114.9,36.0
2018,4,Tomato,Maharashtra,1187.38,159.1,20.0
2018,4,Tomato,Karnataka,1192.19,32.9,35.4
2018,4,Tomato,Andhra Pradesh,1293.3,104.6,24.0
2018,4,Tomato,Madhya Pradesh,1336.04,78.5,35.4
2018,4,Tomato,Rajasthan,1247.73,75.4,26.6
2018,4,Tomato,Gujarat,1219.96,149.5,27.6
2018,4,Potato,Punjab,804.01,179.9,24.6
2018,4,Potato,UP,845.85,181.3,30.6
2018,4,Potato,Maharashtra,788.51,188.0,30.7
2018,4,Potato,Karnataka,817.81,27.9,34.9
2018,4,Potato,Andhra Pradesh,856.14,106.7,37.3
2018,4,Potato,Madhya Pradesh,878.79,30.3,22.8
2018,4,Potato,Rajasthan,806.2,148.8,15.8
2018,4,Potato,Gujarat,849.39,152.5,36.9
2018,4,Onion,Punjab,1535.2,164.3,17.8
2018,4,Onion,UP,1662.31,25.5,24.9
2018,4,Onion,Maharashtra,1649.92,30.0,20.7
2018,4,Onion,Karnataka,1631.01,144.0,31.0
2018,4,Onion,Andhra Pradesh,1623.88,108.5,21.3
2018,4,Onion,Madhya Pradesh,1536.12,36.3,37.7
2018,4,Onion,Rajasthan,1596.01,80.2,26.6
2018,4,Onion,Gujarat,1687.72,30.7,29.7
2018,4,Rice,Punjab,2294.31,122.3,15.5
2018,4,Rice,UP,2428.62,186.4,29.1
2018,4,Rice,Maharashtra,2364.27,184.5,32.7
2018,4,Rice,Karnataka,2164.72,115.3,30.2
2018,4,Rice,Andhra Pradesh,2264.33,147.3,38.4
2018,4,Rice,Madhya Pradesh,2448.22,90.2,17.8
2018,4,Rice,Rajasthan,2469.96,167.8,18.1
2018,4,Rice,Gujarat,2446.49,174.0,28.0
2018,4,Wheat,Punjab,2290.47,79.8,16.4
2018,4,Wheat,UP,2197.97,160.6,15.1
2018,4,Wheat,Maharashtra,2197.36,79.6,28.4
2018,4,Wheat,Karnataka,2409.15,69.3,23.7
2018,4,Wheat,Andhra Pradesh,2343.29,90.4,20.6
2018,4,Wheat,Madhya Pradesh,2240.32,28.2,19.4
2018,4,Wheat,Rajasthan,2256.91,83.8,37.9
2018,4,Wheat,Gujarat,2207.8,116.1,30.8
2018,4,Maize,Punjab,1899.61,132.7,19.5
2018,4,Maize,UP,2212.08,29.7,25.4
2018,4,Maize,Maharashtra,1923.42,199.4,27.6
2018,4,Maize,Karnataka,2091.54,13.4,33.7
2018,4,Maize,Andhra Pradesh,1964.48,179.6,20.1
2018,4,Maize,Madhya Pradesh,1958.15,7.3,26.8
2018,4,Maize,Rajasthan,2081.47,13.1,34.4
2018,4,Maize,Gujarat,2044.7,104.9,26.0
2018,4,Soybean,Punjab,4443.31,111.9,18.9
2018,4,Soybean,UP,4285.22,172.4,38.7
2018,4,Soybean,Maharashtra,4423.48,54.1,31.1
2018,4,Soybean,Karnataka,4449.07,5.1,18.9
2018,4,Soybean,Andhra Pradesh,4671.02,131.8,15.7
2018,4,Soybean,Madhya Pradesh,4314.15,46.2,31.8
2018,4,Soybean,Rajasthan,4168.04,20.8,35.0
2018,4,Soybean,Gujarat,4282.78,130.5,21.0
2018,4,Cotton,Punjab,5974.85,48.6,33.1
2018,4,Cotton,UP,6747.32,166.0,24.9
2018,4,Cotton,Maharashtra,6555.69,41.0,22.3
2018,4,Cotton,Karnataka,6788.83,2.6,17.1
2018,4,Cotton,Andhra Pradesh,6085.62,5.3,19.5
2018,4,Cotton,Madhya Pradesh,6468.82,84.3,37.3
2018,4,Cotton,Rajasthan,6708.25,68.4,21.5
2018,4,Cotton,Gujarat,6261.11,118.1,21.7
2018,4,Sugarcane,Punjab,337.32,81.9,28.8
2018,4,Sugarcane,UP,327.37,58.9,38.7
2018,4,Sugarcane,Maharashtra,344.7,28.0,36.7
2018,4,Sugarcane,Karnataka,330.08,178.9,35.0
2018,4,Sugarcane,Andhra Pradesh,326.79,4.5,21.7
2018,4,Sugarcane,Madhya Pradesh,332.95,126.7,21.4
2018,4,Sugarcane,Rajasthan,311.66,167.0,39.6
2018,4,Sugarcane,Gujarat,332.11,34.3,21.8
2018,4,Chilli,Punjab,7752.72,182.9,17.9
2018,4,Chilli,UP,8502.84,54.8,28.9
2018,4,Chilli,Maharashtra,8603.51,165.9,20.2
2018,4,Chilli,Karnataka,7742.78,27.4,37.5
2018,4,Chilli,Andhra Pradesh,8902.51,119.5,30.0
2018,4,Chilli,Madhya Pradesh,8621.81,35.1,37.9
2018,4,Chilli,Rajasthan,8290.83,76.6,28.0
2018,4,Chilli,Gujarat,7791.12,33.3,33.5
2018,5,Tomato,Punjab,1063.9,120.6,21.1
2018,5,Tomato,UP,1119.81,57.7,23.9
2018,5,Tomato,Maharashtra,1179.95,59.4,29.2
2018,5,Tomato,Karnataka,1135.63,132.7,38.4
2018,5,Tomato,Andhra Pradesh,1182.42,43.0,15.8
2018,5,Tomato,Madhya Pradesh,1096.64,119.0,16.3
2018,5,Tomato,Rajasthan,1139.34,119.4,23.4
2018,5,Tomato,Gujarat,1189.41,21.3,16.9
2018,5,Potato,Punjab,787.75,99.1,32.2
2018,5,Potato,UP,752.08,49.3,35.5
2018,5,Potato,Maharashtra,796.41,138.9,21.8
2018,5,Potato,Karnataka,770.97,72.2,17.3
2018,5,Potato,Andhra Pradesh,810.75,27.4,38.8
2018,5,Potato,Madhya Pradesh,753.43,37.0,28.5
2018,5,Potato,Rajasthan,805.35,146.4,35.2
2018,5,Potato,Gujarat,779.31,138.5,36.2
2018,5,Onion,Punjab,1367.92,97.9,20.5
2018,5,Onion,UP,1536.19,188.8,16.0
2018,5,Onion,Maharashtra,1471.87,185.0,19.5
2018,5,Onion,Karnataka,1440.49,183.1,15.8
2018,5,Onion,Andhra Pradesh,1470.01,59.5,38.1
2018,5,Onion,Madhya Pradesh,1532.4,188.9,26.9
2018,5,Onion,Rajasthan,1507.55,168.9,23.0
2018,5,Onion,Gujarat,1499.99,7.4,29.9
2018,5,Rice,Punjab,1984.26,24.1,16.9
2018,5,Rice,UP,2138.98,68.0,33.1
2018,5,Rice,Maharashtra,1929.63,63.1,28.5
2018,5,Rice,Karnataka,2170.32,63.8,30.6
2018,5,Rice,Andhra Pradesh,2201.92,123.2,20.8
2018,5,Rice,Madhya Pradesh,1916.04,174.0,15.5
2018,5,Rice,Rajasthan,2198.18,105.8,38.5
2018,5,Rice,Gujarat,2172.99,199.6,23.8
2018,5,Wheat,Punjab,2129.82,80.4,27.0
2018,5,Wheat,UP,2084.17,174.7,39.6
2018,5,Wheat,Maharashtra,2130.17,83.6,25.5
2018,5,Wheat,Karnataka,2120.14,47.8,17.8
2018,5,Wheat,Andhra Pradesh,1994.99,57.4,22.4
2018,5,Wheat,Madhya Pradesh,1955.44,8.4,15.4
2018,5,Wheat,Rajasthan,2201.89,85.6,24.6
2018,5,Wheat,Gujarat,2101.21,43.7,38.7
2018,5,Maize,Punjab,1949.29,17.9,25.4
2018,5,Maize,UP,1976.96,188.9,26.7
2018,5,Maize,Maharashtra,1897.72,33.4,39.8
2018,5,Maize,Karnataka,1783.88,188.5,31.2
2018,5,Maize,Andhra Pradesh,1896.03,102.5,20.8
2018,5,Maize,Madhya Pradesh,1767.43,44.1,19.7
2018,5,Maize,Rajasthan,1947.28,70.0,16.4
2018,5,Maize,Gujarat,2003.8,176.8,38.2
2018,5,Soybean,Punjab,4408.47,34.8,24.9
2018,5,Soybean,UP,4253.78,139.2,18.8
2018,5,Soybean,Maharashtra,4291.43,44.9,20.6
2018,5,Soybean,Karnataka,4109.17,118.6,29.5
2018,5,Soybean,Andhra Pradesh,3818.0,175.5,21.6
2018,5,Soybean,Madhya Pradesh,3842.85,177.7,38.9
2018,5,Soybean,Rajasthan,4321.69,161.9,31.4
2018,5,Soybean,Gujarat,4118.24,17.4,25.2
2018,5,Cotton,Punjab,5658.34,52.0,33.1
2018,5,Cotton,UP,5772.19,16.2,20.5
2018,5,Cotton,Maharashtra,5945.36,15.2,36.3
2018,5,Cotton,Karnataka,5771.51,96.1,29.8
2018,5,Cotton,Andhra Pradesh,6076.06,69.6,32.0
2018,5,Cotton,Madhya Pradesh,5836.75,53.4,37.0
2018,5,Cotton,Rajasthan,6050.87,131.7,36.3
2018,5,Cotton,Gujarat,6115.44,141.7,35.9
2018,5,Sugarcane,Punjab,308.7,136.0,30.5
2018,5,Sugarcane,UP,311.35,31.7,37.0
2018,5,Sugarcane,Maharashtra,317.05,5.8,35.6
2018,5,Sugarcane,Karnataka,281.48,67.0,33.6
2018,5,Sugarcane,Andhra Pradesh,283.01,163.6,35.8
2018,5,Sugarcane,Madhya Pradesh,299.61,1.3,22.2
2018,5,Sugarcane,Rajasthan,304.85,196.2,30.8
2018,5,Sugarcane,Gujarat,287.75,126.8,28.5
2018,5,Chilli,Punjab,7940.29,21.4,34.0
2018,5,Chilli,UP,7650.18,192.6,23.5
2018,5,Chilli,Maharashtra,7761.27,186.4,17.6
2018,5,Chilli,Karnataka,8131.67,137.6,16.7
2018,5,Chilli,Andhra Pradesh,7357.97,141.6,16.7
2018,5,Chilli,Madhya Pradesh,7699.92,69.2,30.5
2018,5,Chilli,Rajasthan,7047.62,174.3,39.3
2018,5,Chilli,Gujarat,8170.16,149.9,18.3
2018,6,Tomato,Punjab,1124.63,4.9,15.6
2018,6,Tomato,UP,1049.52,97.7,34.3
2018,6,Tomato,Maharashtra,1111.67,89.2,21.8
2018,6,Tomato,Karnataka,1165.9,85.2,26.3
2018,6,Tomato,Andhra Pradesh,1021.87,159.0,32.3
2018,6,Tomato,Madhya Pradesh,1031.75,16.5,32.0
2018,6,Tomato,Rajasthan,1106.7,54.7,38.8
2018,6,Tomato,Gujarat,1019.7,86.5,38.6
2018,6,Potato,Punjab,710.75,127.7,24.9
2018,6,Potato,UP,693.99,196.8,25.2
2018,6,Potato,Maharashtra,765.4,46.0,20.3
2018,6,Potato,Karnataka,665.99,130.3,24.2
2018,6,Potato,Andhra Pradesh,761.97,94.6,39.2
2018,6,Potato,Madhya Pradesh,683.77,173.7,34.4
2018,6,Potato,Rajasthan,751.21,169.0,34.0
2018,6,Potato,Gujarat,734.54,26.2,15.8
2018,6,Onion,Punjab,1440.9,123.3,34.9
2018,6,Onion,UP,1346.01,23.5,18.1
2018,6,Onion,Maharashtra,1390.08,86.1,20.0
2018,6,Onion,Karnataka,1348.18,12.8,29.5
2018,6,Onion,Andhra Pradesh,1300.1,159.5,22.8
2018,6,Onion,Madhya Pradesh,1340.33,2.3,16.8
2018,6,Onion,Rajasthan,1326.78,96.0,30.0
2018,6,Onion,Gujarat,1305.0,139.0,36.5
2018,6,Rice,Punjab,2052.67,7.9,27.0
2018,6,Rice,UP,1840.51,48.4,39.7
2018,6,Rice,Maharashtra,1852.32,99.8,30.5
2018,6,Rice,Karnataka,2028.35,111.9,15.2
2018,6,Rice,Andhra Pradesh,1910.15,103.5,17.2
2018,6,Rice,Madhya Pradesh,1917.74,6.6,17.0
2018,6,Rice,Rajasthan,1932.3,26.5,29.2
2018,6,Rice,Gujarat,2024.26,160.1,20.0
2018,6,Wheat,Punjab,1832.05,20.9,30.9
2018,6,Wheat,UP,1998.92,6.3,38.4
2018,6,Wheat,Maharashtra,1796.29,108.3,32.7
2018,6,Wheat,Karnataka,2049.85,142.8,35.0
2018,6,Wheat,Andhra Pradesh,1885.29,163.0,17.0
2018,6,Wheat,Madhya Pradesh,2057.24,109.5,35.4
2018,6,Wheat,Rajasthan,1920.24,128.7,28.2
2018,6,Wheat,Gujarat,2006.7,16.3,16.5
2018,6,Maize,Punjab,1694.35,31.9,36.8
2018,6,Maize,UP,1686.47,195.2,23.4
2018,6,Maize,Maharashtra,1675.99,157.9,31.5
2018,6,Maize,Karnataka,1765.29,111.1,33.0
2018,6,Maize,Andhra Pradesh,1689.08,199.3,39.4
2018,6,Maize,Madhya Pradesh,1808.27,39.9,32.0
2018,6,Maize,Rajasthan,1644.93,6.1,21.4
2018,6,Maize,Gujarat,1755.24,173.7,33.2
2018,6,Soybean,Punjab,4020.28,85.1,23.6
2018,6,Soybean,UP,3790.15,197.5,16.0
2018,6,Soybean,Maharashtra,4097.27,115.7,26.0
2018,6,Soybean,Karnataka,4009.48,97.3,36.8
2018,6,Soybean,Andhra Pradesh,4118.11,84.3,21.9
2018,6,Soybean,Madhya Pradesh,3927.18,182.5,20.3
2018,6,Soybean,Rajasthan,3946.14,126.3,33.3
2018,6,Soybean,Gujarat,3641.87,143.2,37.7
2018,6,Cotton,Punjab,5191.56,47.5,39.3
2018,6,Cotton,UP,5192.69,170.9,27.3
2018,6,Cotton,Maharashtra,5250.7,174.1,26.1
2018,6,Cotton,Karnataka,5484.97,71.8,29.8
2018,6,Cotton,Andhra Pradesh,5177.41,78.2,39.2
2018,6,Cotton,Madhya Pradesh,5260.24,131.3,23.1
2018,6,Cotton,Rajasthan,5711.43,26.2,39.2
2018,6,Cotton,Gujarat,5431.54,47.2,16.8
2018,6,Sugarcane,Punjab,268.52,104.0,23.4
2018,6,Sugarcane,UP,298.42,86.2,21.2
2018,6,Sugarcane,Maharashtra,288.81,141.4,19.2
2018,6,Sugarcane,Karnataka,268.42,7.3,33.4
2018,6,Sugarcane,Andhra Pradesh,290.93,94.9,36.1
2018,6,Sugarcane,Madhya Pradesh,297.37,117.1,36.7
2018,6,Sugarcane,Rajasthan,270.16,22.4,21.7
2018,6,Sugarcane,Gujarat,263.41,106.2,38.4
2018,6,Chilli,Punjab,6669.32,24.4,26.3
2018,6,Chilli,UP,7699.82,63.2,27.7
2018,6,Chilli,Maharashtra,6671.89,29.7,39.7
